row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
302131,-1.6870916666666669,30.00858333333333,02/24/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302263,-1.7721336087320438,30.05656755324668,02/18/2016,y,Protected Spring,,Improved,Rwanda,1954.0,,,
302088,-1.6686,29.88247666666667,02/29/2016,y,Protected Spring,,Improved,Rwanda,1982.0,,,
301735,-1.9809299999999999,30.074231666666666,02/16/2016,n,,,,Rwanda,2008.0,,,
302082,-1.664918333333334,29.88703666666667,02/29/2016,y,Piped Water,Tapstand,Improved,Rwanda,2014.0,,,
301725,-1.981305175615403,30.075497274954586,02/16/2016,n,Piped Water,Tapstand,Improved,Rwanda,2000.0,,,
302170,-1.6052,29.914691666666666,02/15/2016,n,,,,Rwanda,2015.0,,,
302142,-1.7786133333333332,30.032366666666668,02/18/2016,n,,,,Rwanda,1990.0,,,
301938,-1.961853725867272,30.136825011761083,02/18/2016,n,Protected Spring,,Improved,Rwanda,1999.0,,,
302337,-1.800225,30.03736,02/17/2016,y,,,,Rwanda,2000.0,,,
301841,-1.971285,30.10548666666667,02/17/2016,n,Piped Water,Tapstand,Improved,Rwanda,1993.0,,,
302434,-1.8345433333333332,29.95138833333333,02/24/2016,n,,,,Rwanda,2015.0,,,
301979,-1.6375233333333332,29.896109999999997,02/15/2016,y,,,,Rwanda,2003.0,,,
301586,-1.9964616666666668,30.114888333333337,02/29/2016,n,Piped Water,Tapstand,Improved,Rwanda,2011.0,,,
302258,-1.655951666666667,30.03706666666667,02/23/2016,n,,,,Rwanda,2014.0,,,
302433,-1.835755,29.955746666666666,02/24/2016,y,,,,Rwanda,2015.0,,,
302301,-1.7670150000000002,29.98425,02/17/2016,u,Protected Spring,,Improved,Rwanda,,,,
302388,-1.76342833333,30.02366666666,02/25/2016,n,,,,Rwanda,2014.0,,,
301811,-2.013233418918504,30.18836977953093,02/29/2016,y,Protected Spring,,Improved,Rwanda,2010.0,,,
302341,-1.8321416666666668,29.977793333333334,02/23/2016,n,,,,Rwanda,2014.0,,,
301943,-1.9593838324022141,30.141902859760666,02/18/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
